location,event_stage,teamH,scoreTH,teamA,scoreTA,event_status,time,event_url,discipline_code,teamH_code,teamA_code,sex
National Aquatics Centre - Sheet B,Men's Round Robin Session 5,Canada,SWESweden,,,,2022-02-12T14:05:00+08:00,../../../en/results/curling/results-men-prel-000502-.htm,CUR,CAN,,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 5,Denmark,SUISwitzerland,,,,2022-02-12T14:05:00+08:00,../../../en/results/curling/results-men-prel-000503-.htm,CUR,DEN,,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 5,United States of America,NORNorway,,,,2022-02-12T14:05:00+08:00,../../../en/results/curling/results-men-prel-000504-.htm,CUR,USA,,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 5,ROC,JPNJapan,,,,2022-02-12T20:05:00+08:00,../../../en/results/curling/results-women-prel-000501-.htm,CUR,ROC,,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 5,Denmark,SUISwitzerland,,,,2022-02-12T20:05:00+08:00,../../../en/results/curling/results-women-prel-000502-.htm,CUR,DEN,,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 5,Great Britain,USAUnited States of America,,,,2022-02-12T20:05:00+08:00,../../../en/results/curling/results-women-prel-000503-.htm,CUR,GBR,,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 5,Sweden,CHNPeople's Republic of China,,,,2022-02-12T20:05:00+08:00,../../../en/results/curling/results-women-prel-000504-.htm,CUR,SWE,,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 6,Norway,SWESweden,,,,2022-02-13T09:05:00+08:00,../../../en/results/curling/results-men-prel-000601-.htm,CUR,NOR,,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 6,People's Republic of China,GBRGreat Britain,,,,2022-02-13T09:05:00+08:00,../../../en/results/curling/results-men-prel-000602-.htm,CUR,CHN,,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 6,United States of America,CANCanada,,,,2022-02-13T09:05:00+08:00,../../../en/results/curling/results-men-prel-000603-.htm,CUR,USA,,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 6,Italy,ROCROC,,,,2022-02-13T09:05:00+08:00,../../../en/results/curling/results-men-prel-000604-.htm,CUR,ITA,,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 6,Denmark,GBRGreat Britain,,,,2022-02-13T14:05:00+08:00,../../../en/results/curling/results-women-prel-000601-.htm,CUR,DEN,,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 6,United States of America,SWESweden,,,,2022-02-13T14:05:00+08:00,../../../en/results/curling/results-women-prel-000602-.htm,CUR,USA,,Women's
